Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ronald Reagan,0.0,1.0,0.7478813803170402,0.6594112837430411,0.5217804665534049,0.13290161829505773,0.0,0.22989043789625738,0.518811774726453,0.580592884006469
Bill Clinton,1.0,0.6121133304191912,1.0,0.4946539981554318,0.4132135019334419,0.0,1.0,0.08201576755482616,0.391413079634081,0.3227786417031308
George H. W. Bush,0.7794607211851761,0.6182719572990579,0.6318602525190309,1.0,0.6141274221567354,0.09226106277339557,0.7794607211851761,0.0,0.6575588057014917,0.24235458674118726
George W. Bush,0.23169891887731642,0.7860105083702974,0.8293346664096344,0.8459416500105408,1.0,0.0,0.23169891887731642,0.007669856454656183,0.7976322663342105,0.28282780521978607
Richard M. Nixon,0.15422004968895134,0.6119984046726652,0.7091525893102479,0.6375882326960308,0.0,1.0,0.15422004968895134,0.7564142177046379,0.5269725205460853,0.25318263733188934
John F. Kennedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lyndon B. Johnson,0.0,0.6855024149471226,0.7563311088419647,0.6356313619936981,0.09435947577441364,0.7776937876907276,0.0,1.0,0.5186332921903112,0.25690974378081594
Barack Obama,0.36671963140017866,0.5917711060845717,0.6644081314458327,0.7407904835555632,0.6163237814223392,0.10317029640739363,0.36671963140017866,0.0,1.0,0.16462096499242765
Franklin D. Roosevelt,0.0,0.9348792078473359,0.931653765435718,0.8950394570523854,0.7511473970065545,0.7408607779089731,0.0,0.7174725513563196,0.847110132884823,1.0
