Name,Jimmy Carter,Ronald Reagan,Bill Clinton,George H. W. Bush,George W. Bush,Richard M. Nixon,John F. Kennedy,Lyndon B. Johnson,Barack Obama,Franklin D. Roosevelt
Jimmy Carter,1.0,0.5303991021434767,0.30277677900372757,0.5736543845155929,0.0,1.0,0.572065221483321,1.0,0.46246479046781175,0.15708319535422507
Ronald Reagan,0.8223587500253654,1.0,0.5457462579840264,0.6799615469219522,0.2863306587472672,0.3309331559180895,0.6714165280549068,0.3309331559180895,0.5320316210999716,0.0
Bill Clinton,0.5093520224082166,0.1549512144026975,1.0,0.5427244148722201,0.0,1.0,0.635980509334219,1.0,0.6246539565392408,0.3397110589526978
George H. W. Bush,0.6662313286670755,0.33767518090938486,0.491297803645907,1.0,0.0,1.0,0.26306050336919956,1.0,0.5137937050786028,0.09314183649112459
George W. Bush,0.6379792082482353,0.31700794427011525,0.4855592725936202,0.5375660134272972,1.0,0.0,0.4211864500774466,0.0,0.3234107892752813,0.25335468510934306
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
John F. Kennedy,0.7323468198741148,0.456717598836259,0.6764649832519282,0.4112337740962355,0.0,0.3958039493119223,1.0,0.3958039493119223,0.5601888493071284,0.33766962085792523
Lyndon B. Johnson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barack Obama,0.809019455626186,0.5604747629447644,0.8104970904125774,0.7793423346354555,0.33599130789365994,0.0,0.7501648032001736,0.0,1.0,0.4207747640353045
Franklin D. Roosevelt,0.8318651356147415,0.47269952331513804,0.8128417744260565,0.7689379278109305,0.5886098432426351,0.0,0.7887713046903251,0.0,0.6748091399741407,1.0
