Name,John F. Kennedy,Richard M. Nixon,Jimmy Carter,George W. Bush,Barack Obama,Lyndon B. Johnson,Bill Clinton,Ronald Reagan,Franklin D. Roosevelt,George H. W. Bush
John F. Kennedy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Richard M. Nixon,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jimmy Carter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Barack Obama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Lyndon B. Johnson,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Bill Clinton,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Ronald Reagan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Franklin D. Roosevelt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
George H. W. Bush,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
